Choose the synonym of "accomplish";"";complete;begin;fail;complete
Choose the synonym of "complete";"";finish;start;begin;finish
Choose the synonym of "finish";"";terminate;begin;continue;terminate
Choose the synonym of "terminate";"";end;start;continue;end
Choose the synonym of "end";"";conclude;begin;start;conclude
Choose the synonym of "begin";"";initiate;finish;end;initiate
Choose the synonym of "initiate";"";launch;finish;stop;launch
Choose the synonym of "launch";"";start;end;stop;start
Choose the synonym of "stop";"";halt;start;continue;halt
Choose the synonym of "halt";"";cease;continue;begin;cease
Choose the synonym of "cease";"";stop;continue;start;stop
Choose the synonym of "continue";"";carry on;stop;finish;carry on
Choose the synonym of "proceed";"";continue;stop;return;continue
Choose the synonym of "proceed";"";advance;retreat;stop;advance
Choose the synonym of "advance";"";progress;retreat;decline;progress
Choose the synonym of "progress";"";advance;decline;retreat;advance
Choose the synonym of "retreat";"";withdraw;advance;attack;withdraw
Choose the synonym of "withdraw";"";remove;add;include;remove
Choose the synonym of "add";"";include;remove;subtract;include
Choose the synonym of "subtract";"";deduct;add;increase;deduct
Choose the synonym of "deduct";"";subtract;add;include;subtract
Choose the synonym of "calculate";"";compute;guess;ignore;compute
Choose the synonym of "compute";"";calculate;guess;estimate;calculate
Choose the synonym of "estimate";"";approximate;calculate exactly;ignore;approximate
Choose the synonym of "guess";"";speculate;know;prove;speculate
Choose the synonym of "speculate";"";assume;prove;confirm;assume
Choose the synonym of "assume";"";suppose;prove;deny;suppose
Choose the synonym of "suppose";"";presume;know;confirm;presume
Choose the synonym of "know";"";understand;forget;guess;understand
Choose the synonym of "understand";"";grasp;confuse;forget;grasp
Choose the synonym of "grasp";"";comprehend;misunderstand;ignore;comprehend
Choose the synonym of "comprehend";"";understand;confuse;forget;understand
Choose the synonym of "learn";"";acquire;forget;lose;acquire
Choose the synonym of "acquire";"";obtain;lose;give;obtain
Choose the synonym of "obtain";"";get;lose;give;get
Choose the synonym of "get";"";receive;give;lose;receive
Choose the synonym of "receive";"";obtain;give;send;obtain
Choose the synonym of "send";"";dispatch;receive;keep;dispatch
Choose the synonym of "dispatch";"";send;receive;delay;send
Choose the synonym of "deliver";"";provide;withhold;remove;provide
Choose the synonym of "provide";"";supply;remove;withhold;supply
Choose the synonym of "supply";"";furnish;remove;destroy;furnish
Choose the synonym of "furnish";"";provide;remove;empty;provide
Choose the synonym of "remove";"";withdraw;add;include;withdraw
Choose the synonym of "destroy";"";ruin;repair;build;ruin
Choose the synonym of "ruin";"";devastate;repair;restore;devastate
Choose the synonym of "devastate";"";destroy;repair;build;destroy
Choose the synonym of "damage";"";impair;repair;restore;impair
Choose the synonym of "impair";"";weaken;strengthen;improve;weaken
Choose the synonym of "weaken";"";undermine;strengthen;support;undermine
Choose the synonym of "strengthen";"";reinforce;weaken;damage;reinforce
Choose the synonym of "reinforce";"";bolster;weaken;remove;bolster
Choose the synonym of "bolster";"";support;undermine;oppose;support
Choose the synonym of "protect";"";safeguard;endanger;attack;safeguard
Choose the synonym of "safeguard";"";protect;damage;expose;protect
Choose the synonym of "endanger";"";jeopardize;protect;secure;jeopardize
Choose the synonym of "jeopardize";"";threaten;protect;save;threaten
Choose the synonym of "threaten";"";intimidate;protect;help;intimidate
Choose the synonym of "intimidate";"";frighten;encourage;comfort;frighten
Choose the synonym of "encourage";"";motivate;discourage;prevent;motivate
Choose the synonym of "motivate";"";inspire;discourage;stop;inspire
Choose the synonym of "inspire";"";encourage;discourage;prevent;encourage
Choose the synonym of "discourage";"";deter;encourage;motivate;deter
Choose the synonym of "deter";"";discourage;encourage;support;discourage
Choose the synonym of "prevent";"";stop;allow;encourage;stop
Choose the synonym of "avoid";"";evade;approach;accept;evade
Choose the synonym of "evade";"";escape;confront;accept;escape
Choose the synonym of "confront";"";face;avoid;escape;face
Choose the synonym of "face";"";confront;avoid;escape;confront
Choose the synonym of "deal with";"";handle;ignore;avoid;handle
Choose the synonym of "handle";"";manage;ignore;lose;manage
Choose the synonym of "manage";"";cope with;fail;avoid;cope with
Choose the synonym of "cope";"";deal with;ignore;avoid;deal with
Choose the synonym of "solve";"";settle;create;complicate;settle
Choose the synonym of "settle";"";resolve;create;disrupt;resolve
Choose the synonym of "resolve";"";solve;complicate;create;solve
Choose the synonym of "answer";"";solution;question;problem;solution
Choose the synonym of "solution";"";remedy;problem;cause;remedy
Choose the synonym of "remedy";"";cure;damage;problem;cure
Choose the synonym of "cure";"";heal;damage;harm;heal
Choose the synonym of "heal";"";recover;damage;hurt;recover
Choose the synonym of "recover";"";regain;lose;damage;regain
Choose the synonym of "regain";"";recover;lose;give;recover
Choose the synonym of "lose";"";mislay;find;gain;mislay
Choose the synonym of "gain";"";acquire;lose;give;acquire
Choose the synonym of "acquire";"";obtain;lose;discard;obtain
Choose the synonym of "discard";"";throw away;keep;retain;throw away
Choose the synonym of "retain";"";keep;discard;remove;keep
Choose the synonym of "preserve";"";maintain;destroy;remove;maintain
Choose the synonym of "maintain";"";preserve;destroy;change;preserve
Choose the synonym of "change";"";modify;preserve;maintain;modify
Choose the synonym of "modify";"";alter;preserve;maintain;alter
Choose the synonym of "alter";"";change;preserve;maintain;change
Choose the synonym of "adapt";"";adjust;resist;destroy;adjust
Choose the synonym of "adjust";"";modify;ignore;remove;modify
Choose the synonym of "fit";"";suit;conflict;damage;suit
Choose the synonym of "suit";"";match;conflict;oppose;match
Choose the synonym of "match";"";correspond;differ;conflict;correspond
Choose the synonym of "differ";"";vary;match;agree;vary
Choose the synonym of "vary";"";differ;match;remain;differ
Choose the synonym of "remain";"";persist;leave;depart;persist
Choose the synonym of "persist";"";continue;stop;quit;continue
Choose the synonym of "quit";"";resign;continue;begin;resign
Choose the synonym of "resign";"";step down;continue;advance;step down
Choose the synonym of "retire";"";withdraw;work;advance;withdraw
Choose the synonym of "hire";"";employ;fire;dismiss;employ
Choose the synonym of "employ";"";hire;dismiss;fire;hire
Choose the synonym of "fire";"";dismiss;hire;employ;dismiss
Choose the synonym of "dismiss";"";remove;hire;employ;remove
Choose the synonym of "promote";"";advance;demote;dismiss;advance
Choose the synonym of "demote";"";downgrade;promote;advance;downgrade
Choose the synonym of "advance";"";promote;demote;dismiss;promote
Choose the synonym of "train";"";educate;ignore;dismiss;educate
Choose the synonym of "educate";"";teach;ignore;confuse;teach
Choose the synonym of "teach";"";instruct;learn;forget;instruct
Choose the synonym of "instruct";"";train;ignore;confuse;train
Choose the synonym of "learn";"";study;teach;forget;study
Choose the synonym of "study";"";research;ignore;forget;research
Choose the synonym of "research";"";investigate;ignore;guess;investigate
Choose the synonym of "investigate";"";examine;ignore;avoid;examine
Choose the synonym of "examine";"";analyze;ignore;avoid;analyze
Choose the synonym of "analyze";"";assess;ignore;destroy;assess
Choose the synonym of "assess";"";evaluate;ignore;remove;evaluate
Choose the synonym of "evaluate";"";judge;ignore;forget;judge
Choose the synonym of "judge";"";assess;ignore;accept;assess
Choose the synonym of "consider";"";contemplate;ignore;forget;contemplate
Choose the synonym of "contemplate";"";ponder;ignore;act;ponder
Choose the synonym of "ponder";"";reflect;forget;ignore;reflect
Choose the synonym of "reflect";"";think;ignore;forget;think
Choose the synonym of "think";"";reason;forget;ignore;reason
Choose the synonym of "reason";"";logic;emotion;guess;logic
Choose the synonym of "logic";"";reasoning;confusion;guess;reasoning
Choose the synonym of "argument";"";claim;question;answer;claim
Choose the synonym of "claim";"";assertion;question;doubt;assertion
Choose the synonym of "assert";"";state;deny;hide;state
Choose the synonym of "deny";"";reject;accept;confirm;reject
Choose the synonym of "confirm";"";establish;deny;question;establish
Choose the synonym of "establish";"";set up;destroy;remove;set up
Choose the synonym of "set up";"";establish;destroy;remove;establish
Choose the synonym of "create";"";generate;destroy;remove;generate
Choose the synonym of "generate";"";produce;destroy;consume;produce
Choose the synonym of "produce";"";manufacture;destroy;consume;manufacture
Choose the synonym of "manufacture";"";make;destroy;remove;make
Choose the synonym of "make";"";create;destroy;remove;create
Choose the synonym of "destroy";"";eliminate;create;build;eliminate
Choose the synonym of "eliminate";"";eradicate;create;add;eradicate
Choose the synonym of "eradicate";"";remove;create;add;remove
Choose the synonym of "remove";"";delete;add;include;delete
Choose the synonym of "delete";"";erase;add;save;erase
Choose the synonym of "erase";"";wipe out;create;write;wipe out
Choose the synonym of "write";"";compose;erase;delete;compose
Choose the synonym of "compose";"";create;destroy;erase;create
Choose the synonym of "read";"";review;write;ignore;review
Choose the synonym of "review";"";examine;ignore;forget;examine
Choose the synonym of "revise";"";edit;destroy;ignore;edit
Choose the synonym of "edit";"";modify;preserve;ignore;modify
Choose the synonym of "correct";"";amend;damage;destroy;amend
Choose the synonym of "amend";"";modify;destroy;remove;modify
Choose the synonym of "improve";"";refine;damage;worsen;refine
Choose the synonym of "refine";"";polish;damage;destroy;polish
Choose the synonym of "polish";"";perfect;damage;worsen;perfect
Choose the synonym of "perfect";"";flawless;imperfect;poor;flawless
Choose the synonym of "imperfect";"";flawed;perfect;excellent;flawed
Choose the synonym of "excellent";"";outstanding;poor;ordinary;outstanding
Choose the synonym of "outstanding";"";exceptional;ordinary;average;exceptional
Choose the synonym of "average";"";ordinary;exceptional;rare;ordinary
Choose the synonym of "poor";"";inferior;excellent;superior;inferior
Choose the synonym of "superior";"";better;inferior;worse;better
Choose the synonym of "inferior";"";lower;superior;better;lower
Choose the synonym of "better";"";improved;worse;inferior;improved
Choose the synonym of "worse";"";inferior;better;improved;inferior
Choose the synonym of "best";"";finest;worst;poor;finest
Choose the synonym of "worst";"";poorest;best;finest;poorest
Choose the synonym of "fine";"";excellent;poor;bad;excellent
Choose the synonym of "bad";"";awful;excellent;fine;awful
Choose the synonym of "awful";"";terrible;wonderful;excellent;terrible
Choose the synonym of "wonderful";"";fantastic;terrible;awful;fantastic
Choose the synonym of "fantastic";"";amazing;terrible;ordinary;amazing
Choose the synonym of "amazing";"";incredible;ordinary;poor;incredible
Choose the synonym of "incredible";"";remarkable;ordinary;boring;remarkable
Choose the synonym of "ordinary";"";mundane;remarkable;exceptional;mundane
Choose the synonym of "strange";"";bizarre;normal;ordinary;bizarre
Choose the synonym of "bizarre";"";weird;normal;ordinary;weird
Choose the synonym of "weird";"";odd;normal;usual;odd
Choose the synonym of "odd";"";peculiar;normal;common;peculiar
Choose the synonym of "normal";"";usual;strange;rare;usual
Choose the synonym of "usual";"";customary;unusual;rare;customary
Choose the synonym of "customary";"";traditional;unusual;modern;traditional
Choose the synonym of "traditional";"";conventional;innovative;modern;conventional
Choose the synonym of "conventional";"";standard;unusual;innovative;standard
Choose the synonym of "standard";"";normal;exceptional;rare;normal
Choose the synonym of "exceptional";"";extraordinary;ordinary;normal;extraordinary
Choose the synonym of "extraordinary";"";unusual;ordinary;common;unusual
Choose the synonym of "rare";"";exceptional;common;usual;exceptional
Choose the synonym of "common";"";prevalent;rare;unusual;prevalent
Choose the synonym of "prevalent";"";widespread;rare;limited;widespread
Choose the synonym of "widespread";"";pervasive;limited;rare;pervasive
Choose the synonym of "pervasive";"";ubiquitous;rare;limited;ubiquitous
Choose the synonym of "ubiquitous";"";omnipresent;rare;limited;omnipresent
Choose the synonym of "everywhere";"";ubiquitous;nowhere;rare;ubiquitous
Choose the synonym of "nowhere";"";in no place;everywhere;somewhere;in no place
Choose the synonym of "somewhere";"";someplace;nowhere;everywhere;someplace
Choose the synonym of "always";"";constantly;never;rarely;constantly
Choose the synonym of "never";"";at no time;always;often;at no time
Choose the synonym of "often";"";frequently;rarely;never;frequently
Choose the synonym of "rarely";"";seldom;often;always;seldom
Choose the synonym of "sometimes";"";occasionally;always;never;occasionally
Choose the synonym of "usually";"";generally;rarely;never;generally
Choose the synonym of "generally";"";typically;rarely;specifically;typically
Choose the synonym of "specifically";"";particularly;generally;usually;particularly
Choose the synonym of "particularly";"";especially;generally;rarely;especially
Choose the synonym of "especially";"";particularly;generally;rarely;particularly
Choose the synonym of "mainly";"";primarily;rarely;partly;primarily
Choose the synonym of "primarily";"";chiefly;secondarily;rarely;chiefly
Choose the synonym of "mostly";"";largely;barely;rarely;largely
Choose the synonym of "largely";"";mainly;barely;rarely;mainly
Choose the synonym of "almost";"";nearly;exactly;completely;nearly
Choose the synonym of "nearly";"";almost;exactly;completely;almost
Choose the synonym of "exactly";"";precisely;approximately;roughly;precisely
Choose the synonym of "precisely";"";exactly;roughly;approximately;exactly
Choose the synonym of "approximately";"";roughly;exactly;precisely;roughly
Choose the synonym of "roughly";"";approximately;exactly;precisely;approximately
Choose the synonym of "quickly";"";rapidly;slowly;gradually;rapidly
Choose the synonym of "rapidly";"";swiftly;slowly;gradually;swiftly
Choose the synonym of "slowly";"";gradually;rapidly;quickly;gradually
Choose the synonym of "suddenly";"";abruptly;gradually;slowly;abruptly
Choose the synonym of "gradually";"";progressively;suddenly;abruptly;progressively
Choose the synonym of "immediately";"";instantly;eventually;gradually;instantly
Choose the synonym of "eventually";"";ultimately;immediately;initially;ultimately
Choose the synonym of "finally";"";eventually;initially;firstly;eventually
Choose the synonym of "initially";"";originally;finally;eventually;originally
Choose the synonym of "originally";"";initially;finally;subsequently;initially
Choose the synonym of "subsequently";"";afterward;before;initially;afterward
Choose the synonym of "before";"";previously;afterward;later;previously
Choose the synonym of "after";"";subsequently;previously;before;subsequently
Choose the synonym of "later";"";afterward;earlier;previously;afterward
Choose the synonym of "earlier";"";previously;later;afterward;previously
Choose the synonym of "now";"";currently;formerly;eventually;currently
Choose the synonym of "currently";"";presently;formerly;previously;presently
Choose the synonym of "formerly";"";previously;currently;now;previously
Choose the synonym of "perhaps";"";possibly;certainly;definitely;possibly
Choose the synonym of "possibly";"";perhaps;certainly;definitely;perhaps
Choose the synonym of "certainly";"";definitely;possibly;perhaps;definitely
Choose the synonym of "definitely";"";certainly;possibly;perhaps;certainly
Choose the synonym of "probably";"";likely;unlikely;possibly;likely
Choose the synonym of "unlikely";"";improbably;probably;certainly;improbably
Choose the synonym of "apparently";"";seemingly;definitely;certainly;seemingly
Choose the synonym of "seemingly";"";apparently;definitely;certainly;apparently
Choose the synonym of "actually";"";really;apparently;possibly;really
Choose the synonym of "really";"";truly;possibly;apparently;truly
Choose the synonym of "truly";"";genuinely;falsely;possibly;genuinely
Choose the synonym of "genuinely";"";authentically;artificially;falsely;authentically
Choose the synonym of "deliberately";"";intentionally;accidentally;randomly;intentionally
Choose the synonym of "intentionally";"";purposely;accidentally;randomly;purposely
Choose the synonym of "accidentally";"";unintentionally;deliberately;purposely;unintentionally
Choose the synonym of "unintentionally";"";inadvertently;deliberately;purposely;inadvertently
Choose the synonym of "carefully";"";cautiously;recklessly;carelessly;cautiously
Choose the synonym of "carelessly";"";negligently;carefully;attentively;negligently
Choose the synonym of "clearly";"";obviously;vaguely;secretly;obviously
Choose the synonym of "obviously";"";evidently;secretly;unclearly;evidently
Choose the synonym of "secretly";"";covertly;openly;publicly;covertly
Choose the synonym of "openly";"";publicly;secretly;covertly;publicly
Choose the synonym of "publicly";"";openly;secretly;privately;openly
Choose the synonym of "privately";"";confidentially;publicly;openly;confidentially
Choose the synonym of "simply";"";merely;complexly;indirectly;merely
Choose the synonym of "merely";"";only;mainly;completely;only
Choose the synonym of "completely";"";entirely;partly;barely;entirely
Choose the synonym of "entirely";"";fully;partly;slightly;fully
Choose the synonym of "partly";"";partially;completely;entirely;partially
Choose the synonym of "slightly";"";somewhat;completely;extremely;somewhat
Choose the synonym of "extremely";"";highly;slightly;moderately;highly
Choose the synonym of "highly";"";extremely;slightly;barely;extremely
Choose the synonym of "barely";"";hardly;completely;fully;hardly
Choose the synonym of "hardly";"";scarcely;completely;frequently;scarcely
Choose the synonym of "almost";"";virtually;completely;never;virtually
Choose the synonym of "virtually";"";practically;literally;rarely;practically
Choose the synonym of "literally";"";actually;figuratively;possibly;actually
Choose the synonym of "figuratively";"";symbolically;literally;actually;symbolically
Choose the synonym of "therefore";"";consequently;however;although;consequently
Choose the synonym of "however";"";nevertheless;therefore;because;nevertheless
Choose the synonym of "although";"";though;therefore;because;though
Choose the synonym of "because";"";since;although;however;since
Choose the synonym of "thereby";"";thus;however;although;thus
Choose the synonym of "thus";"";therefore;however;although;therefore
Choose the synonym of "otherwise";"";alternatively;similarly;therefore;alternatively
Choose the synonym of "similarly";"";likewise;differently;however;likewise
Choose the synonym of "likewise";"";similarly;differently;however;similarly
Choose the synonym of "instead";"";alternatively;similarly;therefore;alternatively
Choose the synonym of "besides";"";moreover;however;instead;moreover
Choose the synonym of "moreover";"";furthermore;however;instead;furthermore
Choose the synonym of "furthermore";"";additionally;however;instead;additionally
Choose the synonym of "additionally";"";also;instead;however;also
Choose the synonym of "although";"";despite the fact that;because;therefore;despite the fact that
Choose the synonym of "despite";"";notwithstanding;because;therefore;notwithstanding
Choose the synonym of "regarding";"";concerning;excluding;opposing;concerning
Choose the synonym of "concerning";"";regarding;excluding;opposing;regarding
Choose the synonym of "despite";"";in spite of;because of;instead of;in spite of
Choose the synonym of "instead of";"";rather than;because of;in addition to;rather than
Choose the synonym of "in addition to";"";besides;instead of;despite;besides
Choose the synonym of "because of";"";due to;despite;instead of;due to
Choose the synonym of "due to";"";because of;despite;instead of;because of
Choose the synonym of "according to";"";as stated by;against;despite;as stated by
Choose the synonym of "based on";"";founded on;opposed to;unrelated to;founded on
Choose the synonym of "related to";"";connected with;separate from;opposed to;connected with
Choose the synonym of "opposed to";"";against;in favor of;similar to;against
Choose the synonym of "in favor of";"";supporting;opposed to;against;supporting
Choose the synonym of "instead";"";rather;also;therefore;rather
Choose the synonym of "perhaps";"";maybe;certainly;definitely;maybe
Choose the synonym of "maybe";"";possibly;certainly;definitely;possibly
Choose the synonym of "certainly";"";surely;possibly;perhaps;surely
Choose the synonym of "surely";"";certainly;possibly;perhaps;certainly
Choose the synonym of "especially";"";particularly;generally;rarely;particularly
Choose the synonym of "particularly";"";notably;generally;rarely;notably
Choose the synonym of "notably";"";remarkably;normally;rarely;remarkably
Choose the synonym of "remarkably";"";notably;normally;rarely;notably
Choose the synonym of "fortunately";"";luckily;unfortunately;rarely;luckily
Choose the synonym of "unfortunately";"";sadly;fortunately;luckily;sadly
Choose the synonym of "luckily";"";fortunately;unfortunately;rarely;fortunately
Choose the synonym of "sadly";"";unfortunately;fortunately;luckily;unfortunately
Choose the synonym of "briefly";"";shortly;lengthily;slowly;shortly
Choose the synonym of "shortly";"";soon;later;eventually;soon
Choose the synonym of "eventually";"";in the end;initially;firstly;in the end
Choose the synonym of "previously";"";before;after;later;before
Choose the synonym of "afterward";"";later;before;previously;later
Choose the synonym of "simultaneously";"";at the same time;separately;eventually;at the same time
Choose the synonym of "separately";"";individually;together;simultaneously;individually
Choose the synonym of "together";"";jointly;separately;individually;jointly
Choose the synonym of "jointly";"";collectively;individually;separately;collectively
Choose the synonym of "individually";"";separately;together;jointly;separately
Choose the synonym of "quickly";"";promptly;slowly;gradually;promptly
Choose the synonym of "promptly";"";immediately;slowly;eventually;immediately
Choose the synonym of "slowly";"";gradually;rapidly;promptly;gradually
Choose the synonym of "rapidly";"";swiftly;slowly;gradually;swiftly
Choose the synonym of "efficiently";"";effectively;wastefully;slowly;effectively
Choose the synonym of "effectively";"";successfully;unsuccessfully;poorly;successfully
Choose the synonym of "successfully";"";effectively;poorly;unsuccessfully;effectively
Choose the synonym of "poorly";"";badly;well;successfully;badly
Choose the synonym of "well";"";properly;badly;poorly;properly
Choose the synonym of "properly";"";correctly;incorrectly;badly;correctly
Choose the synonym of "incorrectly";"";wrongly;correctly;accurately;wrongly
Choose the synonym of "accurately";"";precisely;roughly;approximately;precisely
Choose the synonym of "roughly";"";approximately;precisely;exactly;approximately
Choose the synonym of "exactly";"";accurately;roughly;approximately;accurately
Choose the synonym of "directly";"";immediately;indirectly;gradually;immediately
Choose the synonym of "indirectly";"";implicitly;directly;explicitly;implicitly
Choose the synonym of "explicitly";"";clearly;implicitly;indirectly;clearly
Choose the synonym of "carefully";"";meticulously;carelessly;roughly;meticulously
Choose the synonym of "meticulously";"";thoroughly;carelessly;quickly;thoroughly
Choose the synonym of "thoroughly";"";completely;partially;carelessly;completely
Choose the synonym of "partially";"";incompletely;completely;entirely;incompletely
Choose the synonym of "normally";"";typically;rarely;unusually;typically
Choose the synonym of "typically";"";usually;rarely;never;usually
Choose the synonym of "rarely";"";seldom;frequently;always;seldom
Choose the synonym of "frequently";"";often;rarely;never;often
Choose the synonym of "occasionally";"";sometimes;always;never;sometimes
Choose the synonym of "constantly";"";continuously;occasionally;rarely;continuously
Choose the synonym of "continuously";"";constantly;occasionally;rarely;constantly
Choose the synonym of "temporarily";"";briefly;permanently;forever;briefly
Choose the synonym of "permanently";"";forever;temporarily;briefly;forever
Choose the synonym of "forever";"";eternally;temporarily;briefly;eternally
Choose the synonym of "eternally";"";forever;temporarily;briefly;forever
